Date,Open,High,Low,Close,Volume,Adj Close
2016-10-12,2.63,2.67,2.61,2.65,84100,2.65
2016-10-11,2.64,2.64,2.60,2.63,243100,2.63
2016-10-10,2.65,2.68,2.65,2.67,55300,2.67
2016-10-07,2.71,2.71,2.66,2.66,693200,2.66
2016-10-06,2.67,2.70,2.66,2.70,75100,2.70
2016-10-05,2.67,2.69,2.66,2.67,217000,2.67
2016-10-04,2.67,2.69,2.63,2.66,358000,2.66
2016-10-03,2.73,2.73,2.70,2.72,83600,2.72
2016-09-30,2.70,2.72,2.69,2.72,435800,2.72
2016-09-29,2.77,2.77,2.70,2.72,357200,2.72
2016-09-28,2.77,2.80,2.76,2.78,218300,2.78
2016-09-27,2.72,2.77,2.71,2.77,564400,2.77
2016-09-26,2.67,2.72,2.67,2.69,329100,2.69
2016-09-23,2.89,2.89,2.86,2.89,1610200,2.89
2016-09-22,2.92,2.95,2.92,2.95,1860400,2.95
2016-09-21,2.80,2.85,2.78,2.85,942200,2.85
2016-09-20,2.80,2.81,2.77,2.80,121300,2.80
2016-09-19,2.78,2.82,2.78,2.80,1501500,2.80
2016-09-16,2.77,2.77,2.74,2.75,203500,2.75
2016-09-15,2.73,2.78,2.73,2.77,295200,2.77
2016-09-14,2.75,2.77,2.74,2.75,579300,2.75
2016-09-13,2.71,2.76,2.70,2.75,2926100,2.75
2016-09-12,2.74,2.79,2.72,2.77,130900,2.77
2016-09-09,2.69,2.76,2.69,2.74,364900,2.74
2016-09-08,2.77,2.79,2.75,2.77,667700,2.77
2016-09-07,2.74,2.77,2.73,2.75,363200,2.75
2016-09-06,2.74,2.76,2.73,2.75,390000,2.75
2016-09-02,2.64,2.67,2.63,2.67,484500,2.67
2016-09-01,2.54,2.59,2.54,2.57,210600,2.57
2016-08-31,2.52,2.56,2.50,2.56,284800,2.56
2016-08-30,2.55,2.59,2.50,2.53,109700,2.53
2016-08-29,2.60,2.60,2.49,2.54,198800,2.54
2016-08-26,2.54,2.61,2.54,2.58,120000,2.58
2016-08-25,2.53,2.58,2.51,2.54,82000,2.54
2016-08-24,2.46,2.53,2.45,2.45,518400,2.45
2016-08-23,2.61,2.64,2.55,2.55,129600,2.55
2016-08-22,2.55,2.62,2.55,2.61,109100,2.61
2016-08-19,2.55,2.66,2.55,2.62,398200,2.62
2016-08-18,2.58,2.68,2.58,2.65,43700,2.65
2016-08-17,2.67,2.67,2.60,2.62,73100,2.62
2016-08-16,2.55,2.61,2.55,2.60,344900,2.60
2016-08-15,2.60,2.63,2.60,2.60,304000,2.60
2016-08-12,2.61,2.62,2.55,2.57,378700,2.57
2016-08-11,2.58,2.62,2.58,2.61,82300,2.61
2016-08-10,2.51,2.59,2.51,2.53,73100,2.53
2016-08-09,2.59,2.62,2.57,2.59,121500,2.59
2016-08-08,2.59,2.59,2.54,2.57,65500,2.57
2016-08-05,2.44,2.50,2.44,2.49,214200,2.49
2016-08-04,2.41,2.48,2.40,2.43,90000,2.43
2016-08-03,2.32,2.38,2.32,2.37,116400,2.37
2016-08-02,2.40,2.42,2.36,2.42,214200,2.42
2016-08-01,2.50,2.60,2.40,2.42,172300,2.42
2016-07-29,2.38,2.41,2.36,2.36,312500,2.36
2016-07-28,2.34,2.38,2.32,2.36,1066600,2.36
2016-07-27,2.28,2.36,2.28,2.33,139500,2.33
2016-07-26,2.34,2.37,2.29,2.30,99400,2.30
2016-07-25,2.41,2.41,2.28,2.32,107000,2.32
2016-07-22,2.29,2.31,2.22,2.24,115700,2.24
2016-07-21,2.34,2.34,2.21,2.23,213900,2.23
2016-07-20,2.37,2.40,2.27,2.31,125200,2.31
2016-07-19,2.64,2.64,2.35,2.39,226000,2.39
2016-07-18,2.57,2.61,2.45,2.56,339600,2.56
2016-07-15,2.85,2.86,2.69,2.69,211100,2.69
2016-07-14,2.88,2.88,2.82,2.82,65100,2.82
2016-07-13,2.78,2.89,2.75,2.81,188400,2.81
2016-07-12,2.76,2.81,2.75,2.81,89700,2.81
2016-07-11,2.68,2.70,2.67,2.68,90000,2.68
2016-07-08,2.61,2.65,2.61,2.63,166000,2.63
2016-07-07,2.55,2.60,2.52,2.58,133600,2.58
2016-07-06,2.63,2.63,2.51,2.56,72900,2.56
2016-07-05,2.60,2.60,2.54,2.58,80300,2.58
2016-07-01,2.62,2.64,2.58,2.58,89100,2.58
2016-06-30,2.61,2.62,2.56,2.61,348700,2.61
2016-06-29,2.63,2.68,2.56,2.58,478000,2.58
2016-06-28,2.57,2.64,2.57,2.60,185100,2.60
2016-06-27,2.59,2.59,2.47,2.51,226100,2.51
2016-06-24,2.49,2.57,2.48,2.48,60700,2.48
2016-06-23,2.67,2.76,2.67,2.71,118400,2.71
2016-06-22,2.62,2.68,2.62,2.62,154600,2.62
2016-06-21,2.67,2.67,2.59,2.60,123400,2.60
2016-06-20,2.60,2.64,2.59,2.64,167200,2.64
2016-06-17,2.55,2.55,2.50,2.50,207700,2.50
2016-06-16,2.49,2.52,2.47,2.49,250100,2.49
2016-06-15,2.51,2.60,2.51,2.54,96500,2.54
2016-06-14,2.57,2.57,2.49,2.55,73100,2.55
2016-06-13,2.53,2.56,2.48,2.52,343100,2.52
2016-06-10,2.58,2.61,2.53,2.56,124800,2.56
2016-06-09,2.66,2.66,2.56,2.59,86200,2.59
2016-06-08,2.61,2.68,2.61,2.62,91600,2.62
2016-06-07,2.60,2.63,2.57,2.58,88800,2.58
2016-06-06,2.61,2.63,2.56,2.63,59300,2.63
2016-06-03,2.44,2.63,2.44,2.62,416300,2.62
2016-06-02,2.50,2.54,2.43,2.43,222000,2.43
2016-06-01,2.49,2.55,2.47,2.55,80300,2.55
2016-05-31,2.55,2.62,2.51,2.56,168000,2.56
2016-05-27,2.53,2.56,2.50,2.51,86400,2.51
2016-05-26,2.55,2.57,2.51,2.53,166400,2.53
2016-05-25,2.56,2.60,2.54,2.54,173700,2.54
2016-05-24,2.58,2.63,2.58,2.59,119300,2.59
2016-05-23,2.45,2.51,2.42,2.47,50200,2.47
2016-05-20,2.47,2.50,2.41,2.44,45500,2.44
2016-05-19,2.47,2.49,2.41,2.49,125000,2.49
2016-05-18,2.50,2.53,2.43,2.48,130400,2.48
2016-05-17,2.47,2.54,2.46,2.53,137700,2.53
2016-05-16,2.52,2.52,2.46,2.50,107700,2.50
2016-05-13,2.53,2.57,2.50,2.50,51300,2.50
2016-05-12,2.56,2.60,2.51,2.55,117400,2.55
2016-05-11,2.51,2.59,2.49,2.57,1442400,2.57
2016-05-10,2.56,2.63,2.55,2.58,133800,2.58
2016-05-09,2.58,2.62,2.58,2.61,130700,2.61
2016-05-06,2.55,2.60,2.53,2.60,659600,2.60
2016-05-05,2.67,2.67,2.56,2.60,266300,2.60
2016-05-04,2.78,2.78,2.62,2.65,177000,2.65
2016-05-03,2.92,2.92,2.82,2.83,77900,2.83
2016-05-02,3.08,3.08,2.98,3.03,78100,3.03
2016-04-29,3.06,3.12,3.02,3.03,440700,3.03
2016-04-28,3.03,3.08,2.96,3.02,76600,3.02
2016-04-27,2.96,3.04,2.96,3.04,58200,3.04
2016-04-26,2.99,3.01,2.96,3.01,87500,3.01
2016-04-25,2.91,2.96,2.83,2.92,170900,2.92
2016-04-22,2.99,3.04,2.93,2.98,291700,2.932
2016-04-21,3.03,3.07,2.97,2.99,105400,2.941839
2016-04-20,3.11,3.12,3.03,3.03,160300,2.981195
2016-04-19,3.08,3.15,3.05,3.10,219100,3.050067
2016-04-18,3.02,3.06,3.02,3.04,74000,2.991034
2016-04-15,2.90,3.01,2.90,2.99,249500,2.941839
2016-04-14,2.93,2.95,2.87,2.95,195300,2.902483
2016-04-13,2.90,2.94,2.88,2.89,275000,2.84345
2016-04-12,2.91,2.94,2.83,2.89,47400,2.84345
2016-04-11,2.92,2.96,2.88,2.88,43900,2.833611
2016-04-08,2.86,2.93,2.84,2.84,72400,2.794255
2016-04-07,2.86,2.88,2.80,2.80,66200,2.754899
2016-04-06,2.87,2.91,2.84,2.88,90500,2.833611
2016-04-05,2.91,2.97,2.89,2.95,1446100,2.902483
2016-04-04,2.98,2.99,2.96,2.98,116600,2.932
2016-04-01,2.89,2.93,2.86,2.88,133000,2.833611
2016-03-31,2.91,2.96,2.88,2.92,171100,2.872967
2016-03-30,2.85,2.91,2.85,2.87,226000,2.823772
2016-03-29,2.78,2.88,2.72,2.88,537100,2.833611
2016-03-28,2.82,2.82,2.76,2.76,122000,2.715544
2016-03-24,2.71,2.81,2.71,2.79,140900,2.74506
2016-03-23,2.68,2.74,2.68,2.68,78100,2.636832
2016-03-22,2.68,2.74,2.65,2.74,88500,2.695866
2016-03-21,2.74,2.80,2.74,2.78,329000,2.735221
2016-03-18,2.75,2.79,2.74,2.75,86400,2.705705
2016-03-17,2.70,2.78,2.70,2.78,115200,2.735221
2016-03-16,2.61,2.73,2.59,2.72,140300,2.676188
2016-03-15,2.65,2.65,2.63,2.64,216300,2.597477
2016-03-14,2.70,2.73,2.67,2.73,117400,2.686027
2016-03-11,2.67,2.74,2.67,2.72,118500,2.676188
2016-03-10,2.64,2.68,2.61,2.64,86700,2.597477
2016-03-09,2.61,2.70,2.61,2.70,158300,2.65651
2016-03-08,2.60,2.63,2.60,2.63,125100,2.587638
2016-03-07,2.58,2.64,2.56,2.60,421800,2.558121
2016-03-04,2.57,2.65,2.57,2.64,756400,2.597477
2016-03-03,2.58,2.63,2.56,2.62,87400,2.577799
2016-03-02,2.48,2.60,2.48,2.59,267300,2.548282
2016-03-01,2.44,2.56,2.44,2.56,96900,2.518765
2016-02-29,2.42,2.52,2.42,2.50,296700,2.459732
2016-02-26,2.44,2.53,2.41,2.41,62900,2.371181
2016-02-25,2.50,2.57,2.49,2.52,116800,2.479409
2016-02-24,2.44,2.56,2.44,2.56,218200,2.518765
2016-02-23,2.53,2.57,2.51,2.55,121200,2.508926
2016-02-22,2.45,2.57,2.45,2.53,90600,2.489248
2016-02-19,2.40,2.46,2.38,2.46,372000,2.420376
2016-02-18,2.38,2.47,2.37,2.42,130600,2.38102
2016-02-17,2.43,2.46,2.41,2.41,148700,2.371181
2016-02-16,2.33,2.42,2.33,2.41,132100,2.371181
2016-02-12,2.35,2.45,2.35,2.43,200100,2.390859
2016-02-11,2.38,2.46,2.38,2.45,121500,2.410537
2016-02-10,2.40,2.44,2.36,2.43,146900,2.390859
2016-02-09,2.41,2.45,2.39,2.41,209700,2.371181
2016-02-08,2.45,2.45,2.41,2.43,93400,2.390859
2016-02-05,2.50,2.60,2.50,2.59,388500,2.548282
2016-02-04,2.60,2.61,2.55,2.56,150600,2.518765
2016-02-03,2.56,2.65,2.48,2.65,285500,2.607316
2016-02-02,2.51,2.53,2.49,2.52,155000,2.479409
2016-02-01,2.44,2.62,2.44,2.61,389600,2.56796
2016-01-29,2.52,2.60,2.49,2.60,266100,2.558121
2016-01-28,2.50,2.56,2.48,2.55,353100,2.508926
2016-01-27,2.51,2.53,2.46,2.50,259400,2.459732
2016-01-26,2.46,2.53,2.41,2.53,181700,2.489248
2016-01-25,2.40,2.42,2.39,2.40,4340500,2.361342
2016-01-22,2.30,2.42,2.30,2.42,394700,2.38102
2016-01-21,2.29,2.39,2.28,2.39,347900,2.351503
2016-01-20,2.35,2.42,2.29,2.39,443200,2.351503
2016-01-19,2.35,2.44,2.32,2.42,1538000,2.38102
2016-01-15,2.31,2.44,2.31,2.42,805500,2.38102
2016-01-14,2.33,2.45,2.33,2.43,488300,2.390859
2016-01-13,2.34,2.41,2.34,2.35,176500,2.312148
2016-01-12,2.38,2.38,2.32,2.34,778300,2.302309
2016-01-11,2.39,2.39,2.32,2.33,557600,2.29247
2016-01-08,2.31,2.37,2.30,2.32,381900,2.282631
2016-01-07,2.27,2.37,2.27,2.32,224500,2.282631
2016-01-06,2.32,2.34,2.29,2.32,284000,2.282631
2016-01-05,2.32,2.33,2.29,2.33,795400,2.29247
