Date,Close,High,Low
2013-11-01,1.3489,1.359,1.3478
2013-11-04,1.3519,1.3524,1.3439
2013-11-05,1.3471,1.3522,1.3447
2013-11-06,1.3521,1.3547,1.3465
2013-11-07,1.342,1.3529,1.3294
2013-11-08,1.336,1.3438,1.3316
2013-11-11,1.3408,1.3416,1.3342
2013-11-12,1.3428,1.3456,1.3357
2013-11-13,1.3462,1.3471,1.3388
2013-11-14,1.346,1.3494,1.3416
2013-11-15,1.3493,1.3506,1.343
2013-11-18,1.3497,1.3542,1.3472
2013-11-19,1.3535,1.3547,1.3485
2013-11-20,1.3426,1.358,1.3413
2013-11-21,1.3465,1.348,1.3397
2013-11-22,1.3548,1.3554,1.3459
2013-11-25,1.3519,1.356,1.3488
2013-11-26,1.3569,1.3575,1.3518
2013-11-27,1.3571,1.3613,1.3555
2013-11-28,1.3601,1.3618,1.3561
2013-11-29,1.3587,1.3622,1.358
2013-12-02,1.3537,1.3616,1.3523
2013-12-03,1.3591,1.3614,1.3522
2013-12-04,1.3585,1.3605,1.3526
2013-12-05,1.3671,1.3677,1.3542
2013-12-06,1.3702,1.3706,1.3618
2013-12-09,1.3738,1.3746,1.3692
2013-12-10,1.3765,1.3795,1.3732
2013-12-11,1.3788,1.3811,1.3739
2013-12-12,1.3745,1.3803,1.3736
2013-12-13,1.3732,1.377,1.3707
2013-12-16,1.3764,1.3799,1.3734
2013-12-17,1.3767,1.3782,1.3721
2013-12-18,1.3696,1.3812,1.3693
2013-12-19,1.3655,1.3694,1.3647
2013-12-20,1.3677,1.3709,1.3622
2013-12-23,1.3693,1.3717,1.3669
2013-12-24,1.3675,1.3699,1.3653
2013-12-25,1.3695,1.3705,1.3659
2013-12-26,1.3692,1.3702,1.3661
2013-12-27,1.374,1.3893,1.3687
2013-12-30,1.3798,1.382,1.3726
2013-12-31,1.3774,1.3812,1.3757
2014-01-01,1.3745,1.3754,1.3744
2014-01-02,1.3655,1.3775,1.3627
2014-01-03,1.3587,1.3672,1.3583
2014-01-06,1.3634,1.3653,1.3569
2014-01-07,1.3614,1.366,1.3594
2014-01-08,1.3581,1.3635,1.3551
2014-01-09,1.3607,1.3633,1.3547
2014-01-10,1.3665,1.3687,1.3568
2014-01-13,1.3668,1.3685,1.3634
2014-01-14,1.3681,1.37,1.3646
2014-01-15,1.3604,1.3681,1.3579
2014-01-16,1.3617,1.3649,1.3581
2014-01-17,1.3524,1.3621,1.3515
2014-01-20,1.3562,1.357,1.3506
2014-01-21,1.3558,1.3569,1.3514
2014-01-22,1.3548,1.3583,1.3532
2014-01-23,1.3694,1.3698,1.3528
